107,141,89,73,96
108,150,85,79,84
105,143,84,79,94
104,142,88,75,96
111,128,88,85,91
99,127,96,83,93
98,133,91,84,92
99,137,88,81,93
102,139,100,70,86
100,146,90,70,91
103,139,79,84,92
108,148,97,52,90
100,130,96,77,91
104,120,86,89,95
99,143,88,70,94
103,138,81,79,91
112,143,89,60,87
96,139,96,74,86
108,148,82,65,86
110,144,79,69,86
104,138,77,77,90
103,139,75,76,92
98,133,88,76,89
106,143,90,56,87
106,133,93,58,90
115,129,83,54,98
102,137,75,83,80
101,143,70,73,90
93,139,77,80,88
101,133,79,77,85
102,143,69,73,86
100,143,91,55,82
114,117,90,63,87
103,130,94,63,81
100,138,88,65,79
97,130,78,82,83
107,135,82,59,86
104,140,69,66,89
112,109,98,59,90
109,133,85,52,88
107,135,82,65,74
99,143,64,67,89
102,131,86,55,88
103,124,88,56,91
102,129,86,66,77
113,113,81,72,80
91,118,81,75,91
87,145,62,73,89
99,121,72,74,90
108,133,74,53,88
102,128,81,67,78
102,108,93,62,91
111,145,69,45,85
107,118,96,55,79
100,128,69,74,83
101,148,71,59,74
105,130,89,52,77
102,123,64,71,91
99,134,76,58,84
101,133,81,55,81
106,118,83,55,89
115,123,76,64,72
100,145,61,61,83
103,131,85,50,81
95,145,83,49,78
102,132,86,53,76
104,140,68,52,84
98,109,87,72,81
108,117,70,78,73
99,150,64,50,81
109,143,66,44,82
111,118,91,41,82
104,108,83,63,85
110,119,69,54,91
99,129,90,50,73
101,123,89,63,65
112,135,72,38,82
106,103,79,68,82
110,126,51,64,86
84,140,79,57,76
108,113,74,59,81
105,112,86,57,75
104,111,66,67,86
100,111,67,65,88
96,141,36,61,97
95,128,84,46,77
98,136,65,53,78
